+-----------------------------------------------------------------------------------------+--------------------------------+-------+-------+
| Name                                                                                    | Author                         | Score | Price |
| Learning Web Development from Scratch: The Ultimate Bootcamp                            | DEVELOPMENT ISLAND             |  4.2  | $9.9  |
| Elm Language: Learn Elm Programming & Expand Your Opportunities!                        | Mammoth Interactive            |  5.0  | $9.9  |
| ES6 Tutorial for Beginners: From the Basics to Advanced                                 | Mammoth Interactive            |  5.0  | $9.9  |
| React Tutorial: The Ultimate Guide                                                      | Mammoth Interactive            |  1.0  | $21.  |
| JavaScript Beginner Project: How to Make a Web App with JavaScript                      | Ahmed Ibrahim                  |  5.0  | $9.9  |
| SharePoint Tutorial for Beginners                                                       | Thangeswari Navaneethakrishnan |  5.0  | $9.9  |
| Web Application Development Tutorial: .NET Course For Beginners                         | Ion Cosmin Grigore             |  5.0  | $15.  |
| Advanced CodeIgniter concepts in building your own E-commerce project                   | Shakzee Arain                  |  5.0  | $9.9  |
| Advanced JavaScript Course: Working with JavaScript Libraries                           | Shay Tavor                     |  5.0  | $9.9  |
| How to make a website from scratch for a beginner?                                      | Tatiana Minina                 |  4.2  | Free  |
| Learn JavaScript from scratch: Make your websites interactive!                          | Let's Kode It Kode It          |  4.0  | $13.  |
| Build a  secure PHP login page with email activation for any website                    | Jazeb Akram                    |  5.0  | $60.  |
| ASP.NET Core Tutorial: Learn Web Development                                            | Reynald Adolphe                |  5.0  | $19.  |
| How to Use Sublime Text 3 Like a Pro: Sublime Text Tutorial                             | Rana Shahzad Ahmad Khan        |  5.0  | $9.9  |
| Simple JavaScript Projects For Beginners: Get Excellent Skills On The Fly!              | Jazeb Akram                    |  5.0  | $80.  |
| CSS Animation Tutorial: Bring Interactivity into Your UI/UX                             | Jazeb Akram                    |  5.0  | $75.  |
| React-Redux Tutorial for Beginners: Installation, Basics and More!                      | Mammoth Interactive            |  5.0  | $21.  |
| Beginner Friendly Angular Tutorial: Learn Angular 7 in 8 hours                          | Shivprasad Koirala             |  3.2  | $9.9  |
| A Complete Python Flask Tutorial on Main Principles and Making Your First Web Apps      | Frank Anemaet                  |  5.0  | $9.9  |
| The Ultimate Razor Pages and Blazor Tutorial: Using C# for Front-End                    | Taurius Litvinavicius          |  5.0  | $14.  |
| The Must-See Sass Tutorial for Any Front-End Whiz                                       | LearnToProgram                 |  5.0  | $11.  |
| Bootstrap and PHP Blog Tutorial Step by Step                                            | BitDegree Foundation VSI ©     |  4.2  | Free  |
| Node JS Website Tutorial on Building a Website from Scratch                             | Eldor Togaymurotov             |  5.0  | $4.9  |
| Secure Coding: OWASP Top 10 Best Practices                                              | Digest Academy                 |  4.4  | $7.9  |
| Secure Coding on Frontend: Best Practices                                               | Digest Academy                 |  4.4  | $7.9  |
| The Complete Ruby on Rails 6 Web Development Course 2020: Build an Advanced Udemy Clone | Yaroslav Shmarov               |  5.0  | $13.  |
| Learn JavaScript. Quick Course for Beginners                                            | Laurence Svekis                |  4.5  | Free  |
| API Quiz Game - JavaScript Project using Google Sheet Data                              | Laurence Svekis                |  5.0  | $10.  |
+-----------------------------------------------------------------------------------------+--------------------------------+-------+-------+
