+-----------------------------------------------------------------------------------------+--------------------------------+-------+-------+--------------------------------------------------------------------------------------------------+
| Title                                                                                   | Author                         | Score | Price | Link                                                                                             |
| Learn How to Build a website from scratch with HTML5 and CSS3                           | Jazeb Akram                    | 5.0   | $70.  | https://www.bitdegree.org/course/how-to-build-a-website-from-scratch                             |
| PHP: Object Oriented PHP and MySQL with PDO for beginners + Project                     | Macjoe Umanah                  | 3.7   | $15.  | https://www.bitdegree.org/course/object-oriented-programming                                     |
| Create a React App: React JS Tutorial and Flux Web Dev                                  | Devslopes by Mark Price        | 4.7   | $4.9  | https://www.bitdegree.org/course/create-react-app                                                |
| E-commerce Website Development Tutorial: Codeigniter E-Commerce System                  | Shakzee Arain                  | 5.0   | $9.9  | https://www.bitdegree.org/course/e-commerce-system                                               |
| SVG Tutorial for Beginners: Learn How to Use SVG                                        | Mammoth Interactive            | 5.0   | $13.  | https://www.bitdegree.org/course/svg-tutorial                                                    |
| A complete TestNG tutorial to learn ninja skills                                        | Let's Kode It Kode It          | 5.0   | $9.9  | https://www.bitdegree.org/course/testng-tutorial                                                 |
| How to Build an App: Create Messenger App in 1 Day                                      | Eldor Togaymurotov             | 5.0   | $4.9  | https://www.bitdegree.org/course/how-to-build-an-app                                             |
| Learning PHP from Scratch: Start Your Career as a Back-End Developer                    | Srinivas Vanamala              | 5.0   | $14.  | https://www.bitdegree.org/course/learning-php                                                    |
| Formik Tutorial: No More Tears When Building a React Form                               | Mahmmoud Jbour                 | 5.0   | $9.9  | https://www.bitdegree.org/course/react-form                                                      |
| CSS Positions For Beginners                                                             | Norhan Khafaga                 | 5.0   | $9.0  | https://www.bitdegree.org/course/crash-course-on-css-positions                                   |
| Level Up with Object-oriented PHP and CodeIgniter                                       | Shakzee Arain                  | 5.0   | $14.  | https://www.bitdegree.org/course/object-oriented-php                                             |
| Learn Node.js web development getting a full stack of the best tools                    | Eldor Togaymurotov             | 5.0   | $9.9  | https://www.bitdegree.org/course/node-js-web-development                                         |
| Create a Twitter Social Network Clone - PHP JavaScript MySQL                            | Aizaz Dinho                    | 5.0   | $10.  | https://www.bitdegree.org/course/social-network-script                                           |
| Brackets Editor Tools and Resources for web developers                                  | Laurence Svekis                | 5.0   | Free  | https://www.bitdegree.org/course/brackets-editor-tools-and-resources-for-web-developers          |
| Affiliate Marketing For Beginners: Ways to Increase Your Income                         | Alex Genadinik                 | 3.9   | $1.9  | https://www.bitdegree.org/course/affiliate-marketing-for-beginners                               |
